X1,CaseID,Response_Legal,OpenEnd_Legal,Coded_Legal,Response_Medical,OpenEnd_Medical,Coded_Medical_A,Coded_Medical_B,weight1,weight2,weight3,tm_start,tm_finish,duration,XSPANISH,XPRIMELAN,XLANG,Order_Q9_Q10_First,Order_Q9_Q10_Second,DOV_Q14_More,DOV_Q14_Fewer,DOV_Q14_About,DOV_Q14_Havent,DOV_Q57a,Order_Q20_Q22_First,Order_Q20_Q22_Second,Order_Q20_Q22_Third,DOV_Q20_E,DOV_Q20_F,Order_Q20_a,Order_Q20_b,Order_Q20_c,Order_Q20_d,Order_Q20_e,Order_Q20_f,DOV_Q21_E,DOV_Q21_F,Order_Q21_a,Order_Q21_b,Order_Q21_c,Order_Q21_d,Order_Q21_e,Order_Q21_f,DOV_Q22_E,DOV_Q22_F,Order_Q22_a,Order_Q22_b,Order_Q22_c,Order_Q22_d,Order_Q22_e,Order_Q22_f,Order_Q29_Q30_First,Order_Q29_Q30_Second,Order_Q36A_Q36B_First,Order_Q36A_Q36B_Second,Order_Q38A_Q38B_First,Order_Q38A_Q38B_Second,Order_Q41A_Q41B_First,Order_Q41A_Q41B_Second,Order_Q49_Q57_A,Order_Q49_Q57_E,Order_Q49_Q57_G,Order_Q49_Q57_H,Order_Q49_Q57_I,Q2,Q4A,Q5,Q9a,Q9b,Q9c,Q9e,Q9f,Q9g,Q9h,Q9i,Q10a,Q10b,Q10c,Q10e,Q10f,Q10g,Q10h,Q10i,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q27,Q29,Q30,Q32B,Q33B,Q34,Q35,Q36A,Q36B,Q37,Q38A,Q38B,Q39,Q41A,Q41B,Q42,Q43,Q44,Q44A,Q44A1,Q45,Q46,Q47,Q48B,Q48b1,Q49_A,Q50_A,Q51_A,Q52_A,Q53_A,Q54_A,Q55_A,Q56_A,Q49_E,Q50_E,Q51_E,Q52_E,Q55_E,Q56_E,Q57a_E,Q57b_E,Q49_G,Q50_G,Q51_G,Q52_G,Q55_G,Q56_G,Q57a_G,Q57b_G,Q49_H,Q50_H,Q51_H,Q52_H,Q55_H,Q56_H,Q57a_H,Q57b_H,Q49_I,Q51_I,Q50_I,Q52_I,Q55_I,Q56_I,Q57a_I,Q57b_I,Q58A,Q58C,Q59A_1,Q59A_2,Q59A_3,Q59A_4,Q59A_5,Q59A_6,Q59A_7,Q59A_8,Q59A_9,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,PPRACEM,pppa0197,pppa0012
2545,2657,2,I am alaw abiding person and don't have anything to fear.,trust,2,"If it may help future generatipns, I think that would be a good thing.",medical cure,NA,0.31,0.55,0.55,3/29/11 14:06,3/29/11 14:25,18,1,1,5,1,2,NA,NA,NA,NA,0,3,1,2,0,1,4,3,5,1,NA,2,1,0,3,4,1,5,2,NA,1,0,3,2,4,5,1,NA,2,1,1,2,1,2,2,1,5,1,2,3,4,5,2,1,1,1,1,1,2,3,2,3,1,1,1,2,2,3,2,3,2,2,NA,NA,NA,NA,3,4,2,1,1,1,2,2,2,3,3,3,2,2,2,2,2,2,3,2,3,2,"If it may help future generatipns, I think that would be a good thing.",2,2,2,2,I am alaw abiding person and don't have anything to fear.,2,3,3,4,3,3,3,3,2,3,3,4,3,3,NA,3,2,2,3,3,3,3,NA,3,2,3,3,3,3,3,NA,3,2,2,NA,2,3,3,NA,3,2,2,0,1,1,0,0,1,0,0,0,59,5,3,13,4,4,2,1,2,1,16,1,1,2,4,1,45,0,0,0,0,2,5,1,1,1,6
2546,2658,1,NA,"NA",1,NA,"NA",NA,3.76,1.46,3.27,3/29/11 14:11,3/29/11 14:27,15,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,3,4,1,5,2,NA,1,0,3,2,4,5,1,NA,0,1,2,3,1,5,NA,4,1,2,2,1,2,1,1,2,4,5,1,2,3,4,2,2,1,1,1,1,1,3,2,3,1,1,1,1,1,3,2,3,4,2,NA,NA,NA,NA,2,2,2,3,4,4,4,4,4,4,4,4,4,2,2,3,4,2,4,4,1,1,NA,2,2,1,1,NA,1,2,2,4,3,3,2,2,1,2,2,3,2,2,NA,3,3,2,3,3,4,4,NA,3,1,2,2,3,4,3,NA,3,1,1,NA,1,3,3,NA,3,2,1,0,0,1,0,0,0,0,0,0,75,7,4,9,2,1,2,1,3,1,14,1,1,1,1,1,16,0,0,0,0,3,1,0,1,1,6
2547,2659,1,in order to solve crimes and get people off the street who commit crimes,punishment,1,in order to advance medical research in determing the possibility of inherited problems in health,scientific knowledge,NA,1.25,0.49,1.09,3/29/11 14:13,3/29/11 14:54,40,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,1,0,3,2,4,5,1,NA,0,1,2,3,1,5,NA,4,1,0,2,3,5,4,1,NA,2,1,1,2,1,2,2,1,4,5,1,2,3,3,4,2,1,1,1,2,2,2,2,3,2,2,1,2,3,3,3,3,3,2,NA,NA,NA,NA,3,3,4,1,3,3,3,3,3,3,2,2,3,4,2,3,1,2,3,2,2,1,in order to advance medical research in determing the possibility of inherited problems in health,1,1,1,1,in order to solve crimes and get people off the street who commit crimes,2,3,4,4,3,2,2,1,1,2,3,3,2,2,3,NA,2,4,4,4,2,1,3,NA,1,2,3,2,3,1,3,NA,1,2,NA,3,2,1,3,NA,1,1,1,0,0,0,0,0,0,0,0,75,7,4,9,2,1,1,1,2,1,19,1,1,3,7,1,74,0,0,0,0,2,5,1,1,1,6
2548,2660,4,NA,"NA",4,NA,"NA",NA,1.07,1.91,1.91,3/29/11 14:23,3/31/11 16:01,2977,1,2,3,2,1,NA,NA,NA,NA,1,3,1,2,0,1,2,3,1,5,NA,4,1,0,2,3,5,4,1,NA,1,0,5,3,1,2,4,NA,1,2,2,1,2,1,1,2,3,4,5,1,2,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,NA,NA,NA,NA,1,1,1,3,4,4,3,3,3,3,4,4,3,2,2,3,3,3,4,3,4,4,NA,4,2,1,4,NA,3,2,2,2,2,2,3,3,2,2,2,2,3,3,3,NA,2,2,2,2,3,3,3,NA,2,2,2,2,4,4,4,NA,2,2,NA,2,4,4,4,NA,1,1,0,1,1,0,0,0,0,1,0,54,4,3,9,2,4,1,1,3,3,6,1,1,3,5,2,59,0,0,0,0,3,6,1,1,1,4
2549,2661,2,May keep me from wrongfully accused,interest,2,it may help later geerations,medical cure,NA,0.23,0.49,0.2,3/29/11 14:24,3/29/11 14:35,11,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,2,3,5,4,1,NA,1,0,5,3,1,2,4,NA,0,1,1,4,2,5,NA,3,2,1,1,2,1,2,2,1,2,3,4,5,1,5,4,2,1,1,1,1,2,3,3,3,2,2,2,2,3,3,3,3,4,2,NA,NA,NA,NA,1,3,2,1,4,3,2,2,2,4,2,2,4,2,3,3,1,1,4,3,3,2,it may help later geerations,1,2,2,2,May keep me from wrongfully accused,2,3,4,4,4,3,1,2,2,3,3,4,2,1,NA,3,2,3,4,3,4,4,NA,3,2,4,4,4,4,4,NA,3,2,3,NA,3,2,1,NA,3,2,2,0,1,0,0,0,0,0,0,0,49,4,3,12,4,2,1,0,6,1,11,1,1,2,3,1,31,1,0,0,2,3,1,1,2,1,2
2550,2662,2,If I committed a crime - I should not have a choice. It should be surrendered when I enter the jail.,need more information,2,To help science.,scientific knowledge,NA,2.38,0.93,2.07,3/29/11 14:30,3/29/11 14:49,18,1,5,8,1,2,1,2,3,4,0,3,1,2,1,0,5,3,1,2,4,NA,0,1,1,4,2,5,NA,3,1,0,5,2,4,1,3,NA,2,1,1,2,1,2,2,1,1,2,3,4,5,4,1,1,1,1,1,2,2,2,2,3,1,1,1,2,1,3,2,3,1,1,3,1,1,1,2,2,2,1,2,1,3,3,3,3,3,2,3,2,1,4,1,1,4,2,3,2,To help science.,2,1,2,2,If I committed a crime - I should not have a choice. It should be surrendered when I enter the jail.,2,4,3,4,4,3,2,2,2,2,3,3,2,2,NA,3,2,2,2,2,2,2,NA,3,2,3,4,4,2,2,NA,3,1,2,NA,2,1,1,NA,3,2,1,0,1,1,0,0,0,0,0,0,20,1,1,10,3,1,2,0,3,1,17,5,1,3,7,1,74,0,0,0,0,3,1,1,1,1,4
2551,2663,4,NA,"NA",4,NA,"NA",NA,0.36,0.65,0.65,3/29/11 14:35,3/29/11 14:45,10,1,2,4,1,2,NA,NA,NA,NA,1,3,1,2,0,1,1,4,2,5,NA,3,1,0,5,2,4,1,3,NA,1,0,4,1,5,3,2,NA,2,1,1,2,1,2,2,1,1,2,3,4,5,3,4,2,3,1,3,2,2,2,2,-1,2,3,1,3,2,2,2,3,4,2,NA,NA,NA,NA,1,1,1,3,4,4,2,2,2,2,2,2,2,2,2,2,3,4,4,2,2,4,NA,4,2,2,4,NA,3,4,4,4,2,2,2,2,3,4,4,4,4,4,2,NA,3,4,4,4,2,2,2,NA,2,4,4,4,2,2,2,NA,1,4,NA,4,2,2,2,NA,2,2,1,0,0,0,0,0,0,0,0,37,3,2,12,4,4,1,1,4,1,13,1,1,2,3,1,35,0,1,1,0,2,1,1,NA,1,6
2552,2664,3,nothing to do with me.  Unless it was to clear my name I would not be interested.,interest,3,No control over the sample,privacy,NA,0.27,0.58,0.24,3/29/11 14:38,3/29/11 14:52,13,1,5,8,2,1,NA,NA,NA,NA,1,1,2,3,1,0,5,2,4,1,3,NA,1,0,4,1,5,3,2,NA,0,1,5,1,3,2,NA,4,1,2,2,1,2,1,1,2,5,1,2,3,4,3,2,2,1,2,1,2,-1,3,2,3,1,2,1,2,3,3,2,3,2,2,NA,NA,NA,NA,3,3,3,1,4,1,1,1,2,3,2,2,2,2,1,4,1,1,4,3,2,3,No control over the sample,1,2,2,3,nothing to do with me.  Unless it was to clear my name I would not be interested.,2,2,3,3,2,2,2,2,1,2,2,2,2,2,3,NA,1,2,2,2,2,2,3,NA,1,2,2,2,2,2,3,NA,1,3,NA,2,2,1,3,NA,2,1,0,1,0,0,0,0,0,0,0,45,4,3,12,4,2,1,1,2,2,17,1,1,3,5,1,54,0,0,0,0,2,2,1,2,1,5
2553,2665,1,just curious,interest,1,I don't no,XX,NA,0.24,0.51,0.21,3/29/11 14:40,3/29/11 15:06,25,1,5,8,2,1,NA,NA,NA,NA,0,2,3,1,1,0,4,1,5,3,2,NA,0,1,5,1,3,2,NA,4,1,0,2,4,1,3,5,NA,2,1,1,2,1,2,2,1,5,1,2,3,4,5,4,2,1,2,1,1,2,3,2,3,1,2,1,1,2,3,2,3,3,2,NA,NA,NA,NA,3,3,3,1,4,2,1,2,2,2,2,2,4,2,4,4,3,2,3,2,2,1,I don't no,2,2,1,1,just curious,2,2,2,3,3,3,3,3,2,2,3,3,3,3,NA,3,2,2,3,3,-1,3,NA,3,2,2,2,3,-1,3,NA,3,2,3,NA,2,3,3,NA,3,2,2,1,0,0,0,0,0,0,0,0,56,5,3,9,2,2,2,1,3,1,11,2,1,2,3,1,33,0,0,0,0,3,2,1,2,1,6
2554,2667,2,To prove my innocence.,interest,2,If it was for future medical treatments or prevention.,medical cure,NA,1.22,0.47,1.06,3/29/11 14:46,3/29/11 15:28,41,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,2,4,1,3,5,NA,1,0,2,4,5,1,3,NA,0,1,4,1,3,5,NA,2,2,1,1,2,1,2,2,1,4,5,1,2,3,4,3,2,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,4,2,NA,NA,NA,NA,3,2,2,1,3,1,2,2,2,2,2,2,4,3,2,4,3,2,4,4,2,2,If it was for future medical treatments or prevention.,2,2,2,2,To prove my innocence.,2,2,2,2,3,3,2,3,2,2,2,2,2,3,NA,2,3,2,3,2,3,2,NA,3,2,2,3,2,3,2,NA,3,2,2,NA,1,2,3,NA,3,2,2,0,1,1,0,1,0,0,0,0,83,7,4,9,2,1,2,1,2,1,13,2,1,3,7,3,74,0,0,0,0,2,5,0,1,1,5
2555,2668,4,Don't want it to be used for other purposes.,interest,4,Don't want it to be used for other purposes.,mistrust,NA,0.54,1.15,0.47,3/29/11 14:48,3/29/11 16:00,72,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,1,0,2,4,5,1,3,NA,0,1,4,1,3,5,NA,2,1,0,5,2,1,4,3,NA,1,2,2,1,2,1,1,2,3,4,5,1,2,5,3,2,2,2,1,2,2,3,3,3,3,3,1,3,3,3,3,3,4,2,NA,NA,NA,NA,1,1,1,1,4,4,2,1,3,3,2,3,2,2,2,3,1,1,3,3,2,4,Don't want it to be used for other purposes.,1,2,1,4,Don't want it to be used for other purposes.,2,2,2,4,2,2,2,2,2,2,3,4,2,2,3,NA,2,3,3,4,2,2,3,NA,3,4,3,4,2,2,3,NA,3,3,NA,3,2,2,3,NA,2,1,0,1,1,0,0,0,0,0,0,41,3,2,12,4,2,1,1,1,3,2,3,1,2,3,2,34,0,0,0,0,1,1,1,2,1,2
2556,2670,3,I didn't commit the crime. I'm not a suspect. That is not reasonable.,mistrust,2,"It's important to advance the research, to come up with cures for diseases.",scientific knowledge,NA,1.9,0.74,1.65,3/29/11 14:56,3/30/11 18:29,1652,1,5,8,2,1,NA,NA,NA,NA,1,1,2,3,1,0,5,2,1,4,3,NA,1,0,3,2,1,4,5,NA,0,1,3,5,1,4,NA,2,1,2,2,1,2,1,1,2,1,2,3,4,5,3,2,2,1,1,1,2,2,1,3,2,2,2,1,2,3,-1,3,2,4,2,NA,NA,NA,NA,3,2,1,1,1,1,1,1,3,3,1,3,1,2,1,3,1,1,4,2,1,2,"It's important to advance the research, to come up with cures for diseases.",2,2,1,3,I didn't commit the crime. I'm not a suspect. That is not reasonable.,1,1,4,4,1,1,4,4,1,1,4,4,4,4,4,NA,2,2,4,4,4,4,4,NA,2,1,4,4,4,4,4,NA,1,4,NA,4,4,4,4,NA,1,1,0,1,1,1,0,0,0,0,0,40,3,2,10,3,1,1,1,2,1,14,6,1,1,2,1,23,0,0,0,0,2,1,1,1,1,4
2557,2671,2,something new,indeterminate willing,1,something new to now,interest,NA,0.22,0.48,0.19,3/29/11 15:01,3/29/11 15:57,55,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,1,0,3,2,1,4,5,NA,0,1,3,5,1,4,NA,2,1,0,4,5,1,2,3,NA,2,1,1,2,1,2,2,1,1,2,3,4,5,5,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NA,NA,NA,NA,3,1,1,3,4,4,3,3,3,3,1,2,2,2,3,2,4,3,4,3,4,1,something new to now,2,1,1,2,something new,1,2,1,2,3,-1,4,2,1,2,1,2,4,4,NA,4,3,2,2,4,4,4,NA,4,3,2,2,4,4,4,NA,3,1,2,NA,2,4,4,NA,4,1,1,0,1,1,0,0,0,0,1,0,56,5,3,10,3,2,2,1,1,3,3,5,1,2,4,2,41,0,0,0,0,1,6,0,2,1,6
2558,2672,1,If this would clear me of something that I did not do.,interest,4,no,XX,NA,0.13,0.28,0.11,3/29/11 15:05,3/29/11 15:42,37,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,3,5,1,4,NA,2,1,0,4,5,1,2,3,NA,1,0,4,5,3,2,1,NA,1,2,2,1,2,1,1,2,5,1,2,3,4,3,4,2,1,1,1,1,1,3,3,3,1,2,1,2,3,3,3,3,4,2,NA,NA,NA,NA,3,3,3,3,4,4,1,4,3,4,4,2,4,4,4,4,4,1,4,2,4,4,no,2,1,4,1,If this would clear me of something that I did not do.,1,2,2,3,1,4,3,4,1,4,4,4,2,2,NA,4,2,4,4,4,3,3,NA,1,3,4,4,4,4,4,NA,2,2,4,NA,4,-1,4,NA,1,1,1,0,1,0,0,0,0,0,0,0,62,5,4,10,3,2,1,0,12,1,3,1,1,3,6,1,64,0,1,5,3,3,6,1,2,1,4
2559,2673,3,I haven't committed a crime and therefore shouldn't be included in any databank.,interest,2,To further medical knowledge and perhaps find cures for various diseases.,scientific knowledge,NA,0.08,1.03,0.07,3/29/11 15:06,3/29/11 15:29,22,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,4,5,1,2,3,NA,1,0,4,5,3,2,1,NA,0,1,3,4,2,1,NA,5,2,1,1,2,1,2,2,1,5,1,2,3,4,3,2,2,1,2,1,2,1,3,2,3,1,2,1,2,2,3,2,2,2,2,NA,NA,NA,NA,3,3,3,1,1,1,2,3,2,3,2,2,3,3,2,3,1,1,2,2,2,2,To further medical knowledge and perhaps find cures for various diseases.,1,1,1,3,I haven't committed a crime and therefore shouldn't be included in any databank.,2,1,3,4,2,2,4,2,1,2,2,3,4,1,NA,3,2,2,3,3,4,1,NA,3,2,2,3,3,4,1,NA,3,1,1,NA,1,3,1,NA,3,1,1,0,1,1,1,0,0,0,0,0,43,3,2,13,4,5,1,1,1,1,12,5,1,4,8,1,86,0,0,0,0,1,1,1,6,1,4
2560,2674,2,It might save someone's life.,help society,4,For what purpose.  My personal DNA is my personal DNA.,privacy,NA,0.19,0.4,0.16,3/29/11 15:10,3/29/11 15:37,26,1,5,8,2,1,NA,NA,NA,NA,1,2,3,1,1,0,4,5,3,2,1,NA,0,1,3,4,2,1,NA,5,1,0,2,5,4,3,1,NA,1,2,2,1,2,1,1,2,4,5,1,2,3,4,3,2,1,2,1,1,2,3,2,3,1,3,1,2,2,3,2,3,3,2,NA,NA,NA,NA,3,3,1,3,3,3,2,2,2,2,3,3,4,2,2,4,3,1,3,3,3,4,For what purpose.  My personal DNA is my personal DNA.,3,2,2,2,It might save someone's life.,2,2,2,2,2,2,3,3,2,3,3,2,3,3,3,NA,2,3,3,2,4,4,3,NA,2,3,3,2,3,4,3,NA,2,4,NA,3,2,3,3,NA,2,2,0,1,1,0,0,0,0,0,0,55,5,3,11,3,2,2,0,3,1,12,5,1,3,5,1,59,0,0,0,0,3,1,1,2,1,4
2561,2675,4,NA,"NA",4,NA,"NA",NA,0.75,1.6,0.65,3/29/11 15:12,3/29/11 16:16,63,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,0,1,3,4,2,1,NA,5,1,0,2,5,4,3,1,NA,1,0,1,3,5,4,2,NA,2,1,1,2,1,2,2,1,4,5,1,2,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,NA,NA,NA,NA,1,1,1,3,4,4,2,2,2,2,2,2,2,2,3,3,3,3,4,3,3,4,NA,4,3,3,4,NA,2,2,3,3,2,2,2,2,2,4,4,4,4,4,3,NA,2,4,4,4,2,2,3,NA,2,3,3,3,4,4,3,NA,2,3,NA,3,4,4,3,NA,2,2,1,0,0,0,0,0,0,0,0,55,5,3,9,2,2,1,1,1,1,2,1,0,2,4,1,47,0,0,0,0,1,2,0,2,1,6
2562,2676,4,NA,"NA",4,NA,"NA",NA,1.28,2.73,1.11,3/29/11 15:17,3/29/11 15:31,14,1,5,8,2,1,NA,NA,NA,NA,1,1,2,3,1,0,2,5,4,3,1,NA,1,0,1,3,5,4,2,NA,0,1,4,2,3,5,NA,1,1,2,2,1,2,1,1,2,3,4,5,1,2,5,4,2,3,3,3,3,3,3,3,3,2,1,2,3,2,3,1,3,4,2,NA,NA,NA,NA,4,4,4,3,4,4,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,NA,1,1,1,4,NA,2,2,2,2,1,2,2,2,2,1,4,4,3,3,1,NA,3,4,1,2,2,1,2,NA,2,2,2,2,2,2,4,NA,1,2,NA,1,2,2,2,NA,1,1,0,0,1,0,1,0,0,0,0,38,3,2,7,1,2,1,0,4,3,9,1,1,3,5,2,59,0,1,0,1,2,4,1,2,2,4
2563,2677,1,i would be willing only if i was a suspect,interest,1,it could be an important tool in discovering new cures for inherited disease,scientific knowledge,NA,3.61,1.4,3.13,3/29/11 15:19,3/29/11 15:38,19,1,5,8,2,1,NA,NA,NA,NA,0,2,3,1,1,0,1,3,5,4,2,NA,0,1,4,2,3,5,NA,1,0,1,2,1,4,5,NA,3,2,1,1,2,1,2,2,1,2,3,4,5,1,3,1,2,1,1,1,2,2,3,3,3,1,3,2,2,2,3,3,3,3,2,NA,NA,NA,NA,3,3,1,1,3,1,1,1,3,2,2,1,4,2,1,1,1,1,3,1,1,1,it could be an important tool in discovering new cures for inherited disease,1,2,2,1,i would be willing only if i was a suspect,1,2,4,2,1,2,2,2,1,1,3,3,2,3,NA,1,1,2,4,3,4,3,NA,1,2,2,3,3,4,3,NA,2,2,2,NA,2,4,3,NA,1,2,1,0,1,1,0,1,0,0,0,0,49,4,3,10,3,1,2,0,3,1,7,1,0,2,3,2,32,0,0,0,0,3,1,1,1,1,5
2564,2678,3,NA,"NA",3,NA,"NA",NA,0.87,1.61,0.76,3/29/11 15:22,3/29/11 15:45,23,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,4,2,3,5,NA,1,0,1,2,1,4,5,NA,3,1,0,1,4,2,3,5,NA,1,2,2,1,2,1,1,2,1,2,3,4,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,NA,NA,NA,NA,2,3,3,1,4,4,2,2,-1,2,3,3,3,2,3,3,1,-1,3,2,2,3,NA,2,1,1,3,NA,2,2,2,2,2,1,3,3,2,2,2,2,3,-1,NA,2,2,2,2,2,3,3,NA,2,2,2,2,2,3,3,NA,2,2,2,NA,2,3,3,NA,2,2,2,0,1,1,0,0,0,0,0,0,60,5,4,12,4,3,2,1,1,1,8,5,1,3,5,1,59,0,0,0,0,1,1,0,4,NA,NA
2565,2679,1,Wouldn't hurt,trust,1,I personally don't see why not. I don't think it would hurt to learn more.,trust,NA,0.14,1.83,0.12,3/29/11 15:24,3/29/11 15:40,16,1,5,8,2,1,NA,NA,NA,NA,1,1,2,3,0,1,2,1,4,5,NA,3,1,0,1,4,2,3,5,NA,0,1,5,4,1,2,NA,3,2,1,1,2,1,2,2,1,1,2,3,4,5,4,4,2,1,2,1,2,2,3,2,3,1,2,2,2,3,3,3,3,4,2,NA,NA,NA,NA,3,4,3,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,I personally don't see why not. I don't think it would hurt to learn more.,4,2,2,1,Wouldn't hurt,2,2,4,2,2,2,4,4,2,2,2,2,4,4,3,NA,2,2,2,2,4,4,3,NA,1,2,3,2,4,4,3,NA,1,2,NA,2,4,4,3,NA,2,2,0,1,1,1,0,0,0,0,0,29,2,1,10,3,5,2,1,5,1,12,1,1,2,3,1,33,2,1,0,0,2,2,1,6,1,4
2566,2680,1,i have nothing to hide,trust,1,dna is a proven thing and the only problem i have with this survey is that i feel anything our government gets into becomes corrupt the intentions are good but theres to many payoffs as for my dna i dont mind helping if it can help other people i just don t like the idea of the government getting to run it,medical cure,NA,1.95,0.76,1.69,3/29/11 15:26,3/29/11 15:55,29,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,1,0,1,4,2,3,5,NA,0,1,5,4,1,2,NA,3,0,1,1,5,4,3,NA,2,1,2,2,1,2,1,1,2,5,1,2,3,4,4,3,2,1,1,1,2,2,1,2,3,1,1,1,3,3,3,2,3,4,2,NA,NA,NA,NA,4,3,3,1,4,4,2,3,4,4,2,2,3,2,2,4,1,1,4,3,2,1,dna is a proven thing and the only problem i have with this survey is that i feel anything our government gets into becomes corrupt the intentions are good but theres to many payoffs as for my dna i dont mind helping if it can help other people i just dont like the idea of the government getting to run it,2,1,4,1,i have nothing to hide,1,2,4,4,4,4,4,4,1,2,4,2,4,1,NA,3,1,1,3,2,4,3,NA,3,1,2,3,1,4,3,NA,3,1,2,NA,2,4,4,NA,3,2,2,0,0,1,0,0,0,0,0,0,65,6,4,9,2,1,1,1,2,1,11,1,1,1,2,1,22,0,0,0,0,2,6,1,1,1,4
2567,2681,4,no,indeterminate unwilling,2,no,XX,NA,0.7,1.48,0.6,3/29/11 15:29,3/29/11 16:13,44,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,5,4,1,2,NA,3,0,1,1,5,4,3,NA,2,1,0,5,2,1,3,4,NA,2,1,1,2,1,2,2,1,5,1,2,3,4,5,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,NA,NA,NA,NA,1,1,2,3,4,4,2,1,2,2,-1,2,2,1,2,1,2,3,4,3,3,2,no,4,4,4,4,no,1,2,2,2,2,2,2,2,1,2,2,2,2,2,NA,-1,2,2,2,2,2,2,NA,1,2,2,2,2,2,2,NA,2,2,2,NA,2,2,2,NA,2,1,1,0,1,0,0,0,0,0,0,0,56,5,3,9,2,2,2,1,2,2,1,5,1,2,3,2,34,0,0,0,0,2,3,0,2,1,1
2568,2682,1,I believe we all should do this so if a crime is committed the gilty one goes to jail.,punishment,1,Any research that can benefit mankind is good.,scientific knowledge,NA,0.19,0.33,0.33,3/29/11 15:35,3/29/11 15:55,19,1,1,5,1,2,NA,NA,NA,NA,0,1,2,3,0,1,1,5,4,3,NA,2,1,0,5,2,1,3,4,NA,0,1,2,3,1,5,NA,4,1,2,2,1,2,1,1,2,4,5,1,2,3,3,2,2,1,1,1,3,2,3,2,3,1,1,1,2,2,3,2,3,4,2,NA,NA,NA,NA,3,3,2,1,1,1,1,1,1,1,2,3,4,2,2,1,1,1,4,2,2,1,Any research that can benefit mankind is good.,3,1,1,1,I believe we all should do this so if a crime is committed the gilty one goes to jail.,1,1,1,1,1,1,2,2,1,2,2,2,2,2,NA,1,1,1,1,4,2,2,NA,1,1,1,1,3,2,2,NA,1,1,2,NA,1,2,2,NA,1,1,1,0,1,1,1,0,0,0,0,0,59,5,3,13,4,4,1,1,3,1,18,1,1,3,5,1,59,0,0,0,0,3,1,1,1,1,4
2569,2683,4,NA,"NA",4,NA,"NA",NA,0.2,0.42,0.17,3/29/11 15:36,3/29/11 16:08,31,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,1,0,5,2,1,3,4,NA,0,1,2,3,1,5,NA,4,0,1,2,4,1,3,NA,5,2,1,1,2,1,2,2,1,4,5,1,2,3,3,2,2,1,1,1,2,2,3,2,3,1,2,1,3,2,3,2,3,2,2,NA,NA,NA,NA,3,3,3,1,4,4,1,1,-1,1,1,2,4,2,1,1,1,1,2,4,1,4,NA,2,1,1,4,NA,1,2,2,4,1,1,2,2,1,1,2,2,3,3,3,NA,1,1,2,4,2,2,3,NA,1,2,2,4,2,2,3,NA,2,4,NA,2,1,1,3,NA,2,1,0,1,1,1,0,0,0,0,0,63,5,4,12,4,2,1,1,1,3,8,3,1,4,9,2,93,0,0,0,0,1,3,1,2,1,5
2570,2684,2,I have never done anything and I know they wouldn't have my dna on file anywhere!,trust,1,Family history of cetain diseases and my ethnic background.,interest,NA,0.28,3.71,0.24,3/29/11 15:46,3/29/11 16:17,31,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,0,1,2,3,1,5,NA,4,0,1,2,4,1,3,NA,5,1,0,1,4,3,2,5,NA,1,2,2,1,2,1,1,2,3,4,5,1,2,2,2,2,1,1,1,1,2,1,1,3,1,1,1,1,2,1,2,3,1,2,NA,NA,NA,NA,2,1,2,1,3,4,2,2,3,2,2,2,1,2,2,3,2,1,3,2,3,1,Family history of cetain diseases and my ethnic background.,1,1,1,2,I have never done anything and I know they wouldn't have my dna on file anywhere!,2,3,4,4,3,4,3,3,2,3,3,3,3,3,3,NA,1,2,3,2,3,3,3,NA,1,1,2,1,3,3,3,NA,1,2,NA,1,3,3,3,NA,1,1,0,1,1,1,1,0,0,0,0,36,3,2,9,2,5,2,1,3,3,3,5,1,2,3,2,33,0,0,0,0,3,4,0,6,1,3
